name,actualFunctions,embeddedFunctions,functionalCategories,keyIngredientTypes,isKeyIngredient,suitableForSkinTypes,addressesConcerns,providedBenefits,usageInstructions,pregnancySafe,sensitivities,alcoholFree,fragranceFree,siliconeFree,sulfateFree,parabenFree,explanation,benefit,safety,alternativeNames,whatItDoes,url
Hydrolyzed Forsythia Viridissima...Skin Protecting,Skin Protecting,,"Moisturizing, Protective",Others,No,,,Protecting,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami tidak memiliki deskripsi untuk buah Forsythia viridissima yang terhidrolisis/(Cimicifuga Dahurica/Glycyrrhiza glabra/Paeonia lactiflora/Platycodon grandiflorus/pueraria lobata) Ekstrak akar. Apa yang dilindungi kulit untuk menjaga kulit agar tidak rusak hingga tingkat tertentu yang tidak berprestasi dari produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"All Functions, Skin Protecting",Skin ProtectingTo keep skin from being damaged to a certain degree,https://skinsort.com/ingredients/hydrolyzed-forsythia-viridissima-fruit-cimicifuga-dahurica-glycyrrhiza-glabra-paeonia-lactiflora-platycodon-grandiflorus-pueraria-lobata-root-extract
(Bifidobacterium/Polysorbate 80 ...1Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami tidak memiliki deskripsi untuk (bifidobacterium/polisorbat 80 fermentasi + lactobacillus/polisorbat 80 fermentasi) lysate filtrate belum. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/bifidobacterium-polysorbate-80-ferment-lactobacillus-polysorbate-80-ferment-lysate-filtrate
"Sodium Laurate27Cleansing, Emulsifying","Emulsifying, Cleansing",,"Cleansing, Formulation",Others,No,Oily,"Acne, Oiliness","Cleansing, Oil Control",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Sodium laurate adalah garam natrium asam lauric. Ini adalah bAHAn pembersih dan pengemulsi. Pengembara membantu mencegah bAHAn -bAHAn seperti air dan minyak memisahkan. See all151 productswith Sodium Laurate What it doesCleansingTo free from dirt, contamination, or impuritiesEmulsifyingThe act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mixPrevalenceLess commonPercentage of products that contain it0.2%Top categoriesCleansersMoisturizersEye CarePositionPredominant list placementBottom 50%","Check if a product contains fungal acne triggers | All FunctionsCleansing, Emulsifying, Surfactant","com Products with Sodium Laurate Dove Sensitive Skin Beauty Bar Face Cleanser Dove Original Beauty Bar Body Wash Vanicream Liquid Cleanser Face Cleanser Glossier Cleanser Concentrate Face Cleanser PURITO Mighty Bamboo Panthenol Cleanser Face Cleanser Some By Mi AHA, BHA, PHA 30 Days Miracle Cleansing Bar Face Cleanser Chanel La Mousse Anti-pollution Cleansing Cream-to-foam Face Cleanser AHC Beauty...","SODIUM LAURATE, 211-082-4, All Functions, Cleansing","CleansingTo free from dirt, contamination, or impuritiesEmulsifyingThe act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mix",https://skinsort.com/ingredients/sodium-laurate
"Chimonanthus Salicifolius Leaf E...Humectant, Skin Conditioning","Skin Conditioning, Humectant",,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak daun Chimonanthus salicifolius. Apa yang dilakukan zat yang mempromosikan retensi kelembaban.,Check if a product contains fungal acne triggers,,"CHIMONANTHUS SALICIFOLIUS LEAF EXTRACT, All Functions, Humectant, Skin Conditioning",HumectantA substance that promotes retention of moisture.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/chimonanthus-salicifolius-leaf-extract
Hordeum Vulgare Stem Water2Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk air batang hordeum vulgare. Lihat All14 Productswith Hordeum Vulgare Batang Air Apa yang Doesskin mengondisikan untuk menghidrasi dan melunakkan skinprevalencel tidak bersentuhan dari produk yang mengandung IT 0%Position Predomed dominan penempatan 25%,Check if a product contains fungal acne triggers,,"HORDEUM VULGARE STEM WATER, 286-476-2 (I), All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/hordeum-vulgare-stem-water
"Galaxaura Rugosa/Sargassum Pacif...Emollient, Skin Conditioning","Emollient, Skin Conditioning, Soothing",,"Moisturizing, Treatment",Others,No,"Dry,  Normal","Dryness, Sensitivity, Redness","Hydrating, Soothing, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,We don't have a description for Galaxaura Rugosa/Sargassum Pacificum/Turbinaria Ornata Extract yet. Apa yang dilakukannya dengan kualitas pelunakan atau menenangkan kulit.,Check if a product contains fungal acne triggers,,"All Functions, Emollient, Skin Conditioning",EmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/galaxaura-rugosa-sargassum-pacificum-turbinaria-ornata-extract
1-Naphthaleneacetic AcidSkin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk asam 1-napHthaleneacetic. Lihat All1 Productwith 1-NapHthaleneacetic Acid What It Doesskin Conditioning to Hydrate dan Soften SkinPrevalenceless Common Centsage of Product,Check if a product contains fungal acne triggers,,"1-NAPHTHALENEACETIC ACID, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/1-naphthaleneacetic-acid
"3-Amino-2,6-DimethylphenolHair Dyeing",,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Kami belum memiliki deskripsi untuk 3-amino-2,6-dimethylpHenol. Commonpersentage yang tidak lazim dari produk yang mengandung IT0%",Check if a product contains fungal acne triggers,,"3-AMINO-2, 6-DIMETHYLPHENOL, 230-268-6, All Functions",,https://skinsort.com/ingredients/3-amino-2-6-dimethylphenol
LimusSkin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk Limus. Lihat All11 Productswith Limus Apa itu Doesskin Conditioning untuk menghidrasi dan melunakkan SkinPrevalenceless Commonpercentage produk yang mengandung IT0%PositionPred Predomed dominan penempatan 25%konsentrasi konsentrasi kami telah melihat 0%hingga 0%,Check if a product contains fungal acne triggers,,"LIMUS, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/limus
Lactobacillus/Germinated Soybean...,,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk filtrat fermentasi kedelai Lactobacillus/berkecambah. Commonpersentage yang tidak lazim dari produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,https://skinsort.com/ingredients/lactobacillus-germinated-soybean-ferment-filtrate
2-Cyclohexylethyl AcetateMasking,Masking,,Sensory,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk 2-cyclohexylethyl acetate. Apa yang dilakukannya.,Check if a product contains fungal acne triggers,,"2-CYCLOHEXYLETHYL ACETATE, 244-543-3, All Functions, Flavouring",MaskingObscuring or blocking,https://skinsort.com/ingredients/2-cyclohexylethyl-acetate
"Acacia Dealbata Flower CeraEmollient, Skin Conditioning","Emollient, Skin Conditioning, Soothing",,"Moisturizing, Treatment",Others,No,"Dry,  Normal","Dryness, Sensitivity, Redness","Hydrating, Soothing, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk Acacia Dealbata Flower Cera. Lihat All3 Productswith Acacia Dealbata Flower Cera Apa yang dilakukannya dengan kualitas pelunakan atau menenangkan kulit.,Check if a product contains fungal acne triggers,,"ACACIA DEALBATA FLOWER CERA, All Functions, Emollient, Skin Conditioning",EmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acacia-dealbata-flower-cera
(Cnidium Officinale/Coptis Chine...Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami tidak memiliki deskripsi untuk ekstrak akar (Cnidium officinale/Coptis chinensis/Glycyrrhiza uRalensis). Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/cnidium-officinale-coptis-chinensis-glycyrrhiza-uralensis-root-extract
Egg Oil5Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Minyak telur adalah minyak dan bukan jerawat jamur yang aman. Lihat All8 Productswith Oil Egg What It Doesskin Conditioning to Hydrate dan Soften SkinPrevalenceless Commonpercentage produk yang mengandung IT0%PositionPredoment dominan penempatan 25%,May feed Fungal Acne | Check if a product contains fungal acne triggers,Explained Egg Oil is an oil and isn't fungal acne safe,"EGG OIL, 232-271-8, All Functions, Hair Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/egg-oil
"2,3-Epoxypropyltrimoniium Chloride",,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Kami belum memiliki deskripsi untuk 2,3-epoxypropyltrimoniium chloride. Commonpersentage yang tidak lazim dari produk yang mengandung IT0%",Check if a product contains fungal acne triggers,,"3-EPOXYPROPYLTRIMONIIUM CHLORIDE, 221-221-0, All Functions, Not Reported",,https://skinsort.com/ingredients/2-3-epoxypropyltrimoniium-chloride
Acacia Farnesiana Flower CeraSkin Protecting,Skin Protecting,,"Moisturizing, Protective",Others,No,,,Protecting,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk Acacia farnesiana Flower Cera. Apa yang dilindungi kulit untuk menjaga kulit agar tidak rusak hingga tingkat tertentu yang tidak berprestasi dari produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACACIA FARNESIANA FLOWER CERA, 289-655-3, All Functions, Skin Protecting",Skin ProtectingTo keep skin from being damaged to a certain degree,https://skinsort.com/ingredients/acacia-farnesiana-flower-cera
Lithops Pseudotruncatella Callus...Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk lithops pseudotruncatella callus lysate. Lihat All5 Productswith Lithops Pseudotruncatella Callus Lysate Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuk ke produk yang mengandung IT0%Position Predomed dominan penempatan 50%,Check if a product contains fungal acne triggers,,"LITHOPS PSEUDOTRUNCATELLA CALLUS LYSATE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/lithops-pseudotruncatella-callus-lysate
Chlamydomonas R-(Oligopeptide-91...Skin Conditioning,Skin Conditioning,,Moisturizing,Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Chlamydomonas R- (Oligopeptide-91 SH-Polypeptide-11 SH-Polypeptide-1 SH-Polypeptide-11) adalah peptida. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"All Functions, Skin Conditioning, Viscosity Controlling",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/chlamydomonas-r-oligopeptide-91-sh-polypeptide-11-sh-polypeptide-1-sh-polypeptide-11
Tea-Carbomer2Gel Forming,,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Kami belum memiliki deskripsi untuk karbomer teh. Lihat All2 Productswith Tea-Carbomer Apa yang Didgel Forming to Form Gel, Common Common Consentage Semi-Solidprevalenceless dari Produk yang mengandung IT0%PositionPredoment Daftar Penempatan 50%",Check if a product contains fungal acne triggers,,"TEA-CARBOMER, All Functions, Gel Forming, Viscosity Controlling","Gel FormingTo form gel, a semi-solid",https://skinsort.com/ingredients/tea-carbomer
Chlorella Pyrenoidosa Powder1Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk bubuk Chlorella pyrenoidosa. Lihat All3 Productswith Chlorella Pyrenoidosa Powder Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuk ke produk yang mengandung penempatan dominan posisinya 0%,Check if a product contains fungal acne triggers,,"CHLORELLA PYRENOIDOSA POWDER, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/chlorella-pyrenoidosa-powder
Gossypium Herbaceum PowderAbsorbent,Absorbent,,Specialized,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk bubuk gossypium herbaceum. Lihat All7 Productswith Gossypium Herbaceum Powder Apa yang Dilabsorbentallows Untuk Memasuki Produk Melalui Common Common Incentage yang Tanpa Skin,Check if a product contains fungal acne triggers,,"GOSSYPIUM HERBACEUM POWDER, 232-280-7, All Functions, Absorbent",AbsorbentAllows for the entering of product through the skin,https://skinsort.com/ingredients/gossypium-herbaceum-powder
(Lespedeza Bicolor/Phellodendron...Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami tidak memiliki deskripsi untuk (Lespedeza bicolor/pHellodendron amurense bark)/Mentha arvensis daun/(anemarrhena aspHodeloides/scutellaria baicalensis root). Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/lespedeza-bicolor-phellodendron-amurense-bark-mentha-arvensis-leaf-anemarrhena-asphodeloides-scutellaria-baicalensis-root-extract
Acetobacter/Bacillus/Diospyros K...Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk filtrat fermentasi buah Acetobacter/Bacillus/Diospyros Kaki. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"All Functions, Hair Conditioning, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetobacter-bacillus-diospyros-kaki-fruit-ferment-filtrate
"2,4-Diaminophenoxyethanol Hcl1Hair Dyeing",,,,Others,No,Normal,,,,Consult healthcare provider,Alcohol,No,Yes,Yes,Yes,Yes,"Kami belum memiliki deskripsi untuk 2,4-diaminofenoksiethanol HCl. Lihat All8 Productswith 2,4-diaminopHenoxyethanol HCl Prevalenceless Commonpersentage produk yang mengandung IT0%PositionPred Predomed Daftar penempatan 50%",Check if a product contains fungal acne triggers,,"4-DIAMINOPHENOXYETHANOL HCL, 266-357-1, All Functions, Hair Dyeing",,https://skinsort.com/ingredients/2-4-diaminophenoxyethanol-hcl
"Aluminum TristearateEmollient, Emulsion Stabilising","Stabilising, Emollient, Emulsifying, Soothing",,"Moisturizing, Treatment, Formulation",Others,No,Dry,"Dryness, Sensitivity, Redness","Soothing, Softening",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Kami belum memiliki deskripsi untuk aluminium tristearate. Lihat All3 Productswith Aluminium TRistearate Apa yang dilakukannya dengan kualitas pelembutan atau menenangkan kulit. Emulsi stabilisisasi emulsi, membuat dua bAHAn yang tidak dapat dicampur secara stabil.",Check if a product contains fungal acne triggers,,"ALUMINUM TRISTEARATE, 211-279-5, All Functions, Anticaking","EmollientHaving the quality of softening or soothing the skin.Emulsion StabilisingStabiliziing emulsion, making two non-mixable ingredients stable",https://skinsort.com/ingredients/aluminum-tristearate
O-Phenylphenol6Preservative,Preservative,,Protective,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,O-pHenylpHenol adalah pengawet. Lihat All2 Productswith o-pHenylpHenol Apa yang dilakukannya untuk melestarikan atau mampu melestarikan.,Check if a product contains fungal acne triggers,,"O-PHENYLPHENOL, 201-993-5, All Functions, Preservative",PreservativeTending to preserve or capable of preserving.,https://skinsort.com/ingredients/o-phenylphenol
